player_name,Advanced_WOS,sep_at_arrival,exp_sep_xgb,play_id
Rashee Rice,0.8315470224030641,3.9343921513480056,3.1028452,70
Jerry Jeudy,0.5506153716717793,3.7027691995991088,3.1521537,66
Chris Olave,0.5133948648504785,3.446495250594542,2.9331005,122
Elijah Moore,0.4860040027053004,3.6540537446456267,3.1680496,83
Tyler Lockett,0.409813024566974,3.287598901421153,2.877786,97
Jayden Reed,0.39075280286015995,3.569631638869973,3.1788788,69
Cooper Kupp,0.3799117047368506,3.229643518240068,2.849732,79
Brandon Aiyuk,0.375409873074741,3.3310782815360325,2.9556684,99
Zay Flowers,0.34477420123905617,3.5900947152822287,3.2453203,75
Darius Slayton,0.3290701062058649,3.276384891693481,2.9473147,67
Courtland Sutton,0.27772099227951347,3.1435895813323005,2.8658686,78
Jaylen Waddle,0.2713359449530046,3.4235442064996393,3.1522083,84
Gabe Davis,0.23837252639643716,3.2374070082864987,2.9990344,68
Keenan Allen,0.19318118022461347,3.080882036422239,2.8877008,128
Ja'Marr Chase,0.166780914627351,3.2293391025155698,3.0625582,104
Romeo Doubs,0.1641237097382307,3.0398660154657966,2.8757422,85
Diontae Johnson,0.09725481252719595,2.8010099578687737,2.7037551,71
DeVonta Smith,0.08573725349432788,3.140820224544221,3.0550828,93
Tyreek Hill,0.08003674406371633,3.262459433479908,3.1824226,132
Tank Dell,0.06046195721242925,3.1133615718367844,3.0528996,69
Justin Jefferson,0.05346401203380723,3.049965459190225,2.9965014,86
Tee Higgins,0.037547317468840415,2.839703264452851,2.802156,68
Brandin Cooks,0.03004799711082153,2.9469874773147993,2.9169395,71
Tyler Boyd,0.006421061142572609,3.0865333109937994,3.0801122,75
A.J. Brown,0.004574930178524211,2.6474390469655646,2.6428642,137
Nico Collins,-0.011759017262362842,2.9857593731547363,2.9975185,84
Christian Kirk,-0.03335866051800835,2.9126277676045813,2.9459865,69
Jordan Addison,-0.03422958056484537,2.9304847002867493,2.9647143,91
Amon-Ra St. Brown,-0.03670587100254027,3.01484951798803,3.0515554,136
Josh Downs,-0.04713449357797717,3.1139074845000336,3.161042,78
DK Metcalf,-0.07569555859615511,2.543778479728703,2.6194742,95
CeeDee Lamb,-0.07594072444854386,2.795826155154171,2.8717668,162
George Pickens,-0.08498628693707728,2.639653844059627,2.7246401,90
Puka Nacua,-0.09979377762227241,2.7632873829230764,2.863081,125
Michael Pittman,-0.10684603209280229,2.7299657124678274,2.8368115,118
Garrett Wilson,-0.11093915427834276,2.8607019584482885,2.971641,141
Adam Thielen,-0.11957485332158739,2.8936347221907828,3.0132096,122
DJ Moore,-0.1350409165647056,2.7200735059609724,2.8551145,105
Marquise Brown,-0.13823158575318573,2.62463322877575,2.7628648,79
Jakobi Meyers,-0.1499888621023842,2.719718985316608,2.8697078,92
Chris Godwin Jr.,-0.17093835544365588,2.834758599850056,3.0056968,101
Jonathan Mingo,-0.17665729745118294,2.6297988796798064,2.806456,69
Davante Adams,-0.18965216653015374,2.755018327893643,2.9446704,151
Calvin Ridley,-0.20695944432137187,2.54207020280126,2.7490299,111
Stefon Diggs,-0.2332353808940138,2.754338094712966,2.9875734,124
Drake London,-0.24384162904566176,2.6154867552564385,2.8593283,98
Mike Evans,-0.25510895972412234,2.5610953792869804,2.8162043,117
Curtis Samuel,-0.2697856330940549,2.7258549156986973,2.9956405,66
Jahan Dotson,-0.2932918990204091,2.6920820990134184,2.985374,69
DeAndre Hopkins,-0.32389044330176975,2.610491883468477,2.9343824,114
Terry McLaurin,-0.3667820620210068,2.4095118646228686,2.776294,106
Amari Cooper,-0.4742276692770129,2.456759118314649,2.9309866,112
